ID,Category,Situation,Korean,Pronunciation,Nepali,Level
78,서빙/기본,소스 안내,소스는 여기 있습니다.,소스는 여기 이씀니다,सस यहाँ छ।,1
79,서빙/기본,난 리필 여부,난은 추가 주문입니다.,난은 추가 주문임니다,नान थप अर्डर हो।,3
80,서빙/기본,맛 확인,맛 괜찮으세요?,맏 갠찬으세요?,स्वाद ठीक छ?,2
81,서빙/기본,맵기 확인,맵기는 괜찮으세요?,맵기는 갠찬으세요?,पिरोपन ठीक छ?,2
82,서빙/기본,추가 요청,필요한 거 있으면 말씀해 주세요.,필요한 거 이쓰면 말씀해 주세यो,चाहिने कुरा भए भन्नुहोस्।,2
83,서빙/기본,치우기,접시 치워 드릴까요?,접시 치워 드릴까यो?,प्लेट हटाइदिऊँ?,2
84,서빙/기본,치우기,빈 그릇 치워 드릴게요.,빈 그릇 치워 드릴게यो,खाली भाँडा हटाउँछु।,2
85,서빙/기본,테이블 정리,테이블 정리해 드릴게요.,테이블 정리해 드릴게यो,테이블 मिलाइदिन्छु।,2
86,추가/옵션,추가 주문,추가 주문 도와드릴까요?,추가 주문 도와드릴까यो?,थप अर्डर?,2
87,추가/옵션,난 종류,버터 난으로 바꿀까요?,버터 난으로 바꿀까यो?,बटर नान बनाऊँ?,3
88,추가/옵션,밥 종류,밥은 두종류로 가능해요.,밥은 두종류로 가능해यो,भात {प्रकार} उपलब्ध छ।,3
89,추가/옵션,매운맛 변경,맵기 변경해 드릴까요?,맵기 변경해 드릴까यो?,पिरोपन बदल्ने?,3
90,추가/옵션,고수 옵션,고수 빼 드릴게요.,고수 빼 드릴게यो,धनिया हटाइदिन्छु।,2
91,추가/옵션,유제품 옵션,크림 빼기 원하세요?,크림 빼기 원하세यो?,बटर/क्रीम हटाउन चाहिन्छ?,3
92,추가/옵션,포장 용기,포장 용기 필요하세요?,포장 용기 필요하세요?,प्याक गर्ने बक्स चाहिन्छ?,2
93,추가/옵션,나중 주문,나중에 디저트 드릴까요?,나중에 디저트 드릴까यो?,पछि डेजर्ट लिने?,3
94,추가/옵션,음료 추가,음료 하나 더 드릴까요?,음료 하나 더 드릴까यो?,पेय एक थप?,2
95,추가/옵션,얼음,얼음 넣어 드릴까요?,얼음 너어 드릴까यो?,बरफ राखूँ?,2
96,추가/옵션,레몬,레몬 넣어 드릴까요?,레몬 너어 드릴까यो?,कागती राखूँ?,2
97,추가/옵션,매장 이용,매장에서 드시고 가세요?,매장에서 드시고 가세यो?,यहाँ खाने हो?,1
98,추가/옵션,포장,포장해 드릴까요?,포장해 드릴까यो?,प्याक गरिदिऊँ?,1
99,추가/옵션,포장 시간,포장은 5분 정도 걸립니다.,포장은 오분 정도 걸림니다,प्याक गर्न {मिनेट} मिनेट लाग्छ।,3
100,추가/옵션,배달 안내,배달도 가능해요.,배달도 가능해यो,डेलिभरी पनि हुन्छ।,2
101,계산/결제,계산 요청,계산 도와드릴까요?,계산 도와드릴까यो?,बिल बनाइदिऊँ?,1
102,계산/결제,계산 안내,카운터에서 계산해 주세요.,카운터에서 계산해 주세यो,काउन्टरमा तिर्नुस्।,2
103,계산/결제,테이블 계산,테이블에서 계산 도와드릴게요.,테이블에서 계산 도와드릴게यो,테이블मै बिल गर्छु।,3
104,계산/결제,결제 수단,"카드로 하실까요, 현금으로 하실까요?",카드로 하실까यो 현금으로 하실까यो?,कार्ड कि नगद?,2
105,계산/결제,카드 결제,카드 여기 꽂아 주세요.,카드 여기 꼬자 주세यो,कार्ड यहाँ राख्नुहोस्।,2
106,계산/결제,터치 결제,여기 터치해 주세요.,여기 터치해 주세यो,यहाँ टच गर्नुहोस्।,2
107,계산/결제,현금 결제,현금 받았습니다.,현금 바다씀니다,नगद लिइयो।,2
108,계산/결제,거스름돈,거스름돈 여기 있습니다.,거스름돈 여기 이씀니다,खुद्रा पैसा यहाँ छ।,2
109,계산/결제,영수증,영수증 드릴까요?,영수증 드릴까यो?,रसिद चाहिन्छ?,1
110,계산/결제,영수증 출력,영수증 출력해 드릴게요.,영수증 출력해 드릴게यो,रसिद निकालिदिन्छु।,2
111,계산/결제,현금영수증,현금영수증 필요하세요?,현금영수증 필요하세यो?,नगद रसिद चाहिन्छ?,3
112,계산/결제,계산서,계산서 필요하세요?,계산서 필요하세यो?,बिल चाहिन्छ?,2
113,계산/결제,분할 결제,나눠서 결제 가능합니다.,나눠서 결제 가능함니다,बाँडेर तिर्न मिल्छ।,3
114,계산/결제,각자 결제,각자 결제 도와드릴게요.,각자 결제 도와드릴게यो,आ-आफ्नै तिर्न मद्दत गर्छु।,3
115,계산/결제,쿠폰,쿠폰 있으세요?,쿠폰 이쓰세यो?,कुपन छ?,2
116,계산/결제,멤버십,멤버십 있으세요?,맴버십 이쓰세यो?,मेम्बरसिप छ?,2
117,계산/결제,적립 안내,적립 도와드릴까요?,정닙 도와드릴까यो?,प्वाइन्ट जम्मा गरूँ?,3
118,계산/결제,감사 인사,감사합니다. 또 오세요.,감사함니다 또 오세यो,धन्यवाद। फेरि आउनुहोस्।,1
119,계산/결제,작별 인사,조심히 가세요.,조심히 가세यो,सावधानीपूर्वक जानुहोस्।,1
120,계산/결제,문 열기,문 열어 드릴게요.,문 열어 드릴게यो,ढोका खोलीदिन्छु।,2
121,예약/대기,예약 확인,예약은 한시가 맞으세요?,예약은 한시가 마즈세यो?,आरक्षण {समय} मा हो?,3
122,예약/대기,예약 이름,예약자 성함 알려 주세요.,예약자 성함 알려 주세यो,आरक्षण नाम भन्नुस्।,2
123,예약/대기,예약 없음,예약 없이도 가능해요.,예약 업씨도 가능해यो,आरक्षण बिना पनि मिल्छ।,2
124,예약/대기,대기 등록,대기 등록해 드릴까요?,대기 등록해 드릴까यो?,वेटिङमा लेखिदिऊँ?,2
125,예약/대기,대기 시간,대기 시간은 10분 정도예요.,대기 시간은 십뿐 정도에यो,वेटिङ {मिनेट} मिनेट जति।,3
126,예약/대기,연락 안내,자리 나면 연락드릴게요.,자리 나면 연락드릴게यो,सिट खाली भए फोन गर्छु।,3
127,예약/대기,호출,"손님, 들어오세요.",손님 들어오세यो,नाम지, आउनुहोस्।,3
128,예약/대기,인원 변경,인원 변경되셨나요?,인원 변경되션나यो?,संख्या बदलियो?,3
129,예약/대기,시간 지연,조금 늦어도 괜찮아요.,조금 느저도 갠차나요,अलि ढिला भए ठीक छ।,2
130,예약/대기,노쇼 안내,시간 지나면 예약 취소돼요.,시간 지나면 예약 취소돼요,समयपछि आरक्षण रद्द हुन्छ।,3
131,포장/배달,포장 확인,포장 맞으세요?,포장 마즈세यो?,प्याक हो?,1
132,포장/배달,구성 확인,구성 확인해 주세요.,구성 확인해 주세यो,भित्रको सामान जाँच्नुहोस्।,2
133,포장/배달,소스 제공,소스는 두개 넣었어요.,소스는 두개 너어써요,सस {संख्या} वटा राखेको छु।,3
134,포장/배달,뜨거움,뜨거우니 조심하세요.,뜨거우니 조심하세यो,تاतो छ, सावधान।,2
135,포장/배달,시간 안내,포장 준비되면 불러 드릴게요.,포장 준비되면 불러 드릴게यो,तयार भए बोलाउँछु।,3
136,포장/배달,봉투,봉투에 담아 드릴게요.,봉투에 다마 드릴게यो,ब्यागमा राखिदिन्छु।,2
137,포장/배달,수저 포함,수저 넣어 드릴까요?,수저 너어 드릴까यो?,चम्चा राखूँ?,2
138,포장/배달,주소 확인,주소 확인해 주세요.,주소 확인해 주세यो,ठेगाना जाँच्नुहोस्।,3
139,포장/배달,배달 앱,배달 앱으로 주문하셨어요?,배달 앱으로 주문하셔써요?,डेलिभरी एपबाट अर्डर?,3
140,포장/배달,누락 확인,빠진 거 있으면 바로 연락 주세요.,빠진 거 이쓰면 바로 연락 주세यो,कमी भए तुरुन्त फोन गर्नुहोस्।,3
141,컴플레인,불만 접수,불편을 드려 죄송합니다.,불편을 드려 죄송함니다,असुविधा भयो।,3
142,컴플레인,원인 질문,어떤 점이 불편하셨어요?,어떤 점이 불편하셔써요?,के समस्या भयो?,3
143,컴플레인,교환 제안,새로 만들어 드릴까요?,새로 만들어 드릴까यो?,नयाँ बनाइदिऊँ?,3
144,컴플레인,환불 안내,환불 도와드릴게요.,환불 도와드릴게यो,रिफन्ड गरिदिन्छु।,3
145,컴플레인,맵기 문제,너무 매우시면 덜 맵게 바꿔 드릴게요.,너무 매우시면 덜 맵게 바꿔 드릴게यो,धेरै पिरो भए कम पिरो बनाइदिन्छु।,3
146,컴플레인,맛 문제,맛이 다르시면 말씀해 주세요.,마시 다르면 말씀해 주세यो,스वाद फरक लागे भन्नुस्।,3
147,컴플레인,온도 문제,따뜻하게 다시 데워 드릴까요?,따뜨타게 다시 데워 드릴까यो?,फेरि तताइदिऊँ?,3
148,컴플레인,지연 사과,조금 늦어서 죄송해요.,조금 느저서 죄송해यो,अलि ढिला भयो।,3
149,컴플레인,대기 사과,기다리게 해서 죄송해요.,기다리게 해서 죄송해यो,पर्खाउनुपर्‍यो।,3
150,컴플레인,대안 제시,먼저 가능한 메뉴로 안내드릴까요?,먼저 가능한 메뉴로 안내드릴까यो?,पहिले छिटो हुने मेनु दिने?,3
151,컴플레인,잘못 서빙,제가 확인하고 바로 바꿔 드릴게요.,제가 확인하고 바로 바꿔 드릴게यो,जाँच गरेर तुरुन्त बदल्छु।,3
152,컴플레인,누락,누락된 메뉴 바로 드릴게요.,누락된 메뉴 바로 드릴게यो,छुटेको मेनु तुरुन्त दिन्छु।,3
153,컴플레인,자리 문제,자리 바꿔 드릴까요?,자리 바꿔 드릴까यो?,सिट बदलिदिऊँ?,3
154,컴플레인,소음,조용한 자리로 안내해 드릴까요?,조용한 자리로 안내해 드릴까यो?,शान्त सिटमा लैजाऊँ?,3
155,컴플레인,위생 걱정,바로 확인하고 조치하겠습니다.,바로 확인하고 조치하게씀니다,अहिले जाँचेर समाधान गर्छु।,3
156,컴플레인,재확인,다시 한 번 확인해도 될까요?,다시 한 번 확인해도 될까यो?,फेरि जाँच गर्न मिल्छ?,3
157,컴플레인,감사,말씀해 주셔서 감사합니다.,말씀해 주셔서 감사함니다,भन्नुभएकोमा धन्यवाद।,3
158,컴플레인,매니저 호출,매니저 불러 드릴게요.,매니저 불러 드릴게यो,म्यानेजर बोलाउँछु।,3
159,컴플레인,서비스 제공,서비스로 라시 드리겠습니다.,서비스로 라시 드리게씀니다,सेवामा {पेय} दिन्छु।,3
160,컴플레인,마무리,다음에는 더 신경 쓰겠습니다.,다음에는 더 신경 쓰게씀니다,अर्कोपटक बढी ध्यान दिन्छु।,3
161,위생/청소,손 소독,손 소독 부탁드립니다.,손 소독 부탁드림니다,हात स्यानिटाइज गर्नुहोस्।,2
162,위생/청소,화장실 안내,화장실은 저쪽에 있어요.,화장실은 저쪼게 이써요,शौचालय उता छ।,1
163,위생/청소,휴지 보충,휴지가 여기 있어요.,휴지가 여기 이써요,टिस्यु यहाँ छ।,1
164,위생/청소,바닥 주의,바닥이 미끄러워요.,바다기 미끄러워요,भुइँ चिप्लो छ।,2
165,위생/청소,정리 요청,테이블을 조금만 정리할게요.,테이블을 조금만 정리할게यो,테이블 अलि मिलाउँछु।,2
166,운영/안내,영업시간,영업시간은 열시까지예요.,영업시간은 열씨까지에요,खुल्ने समय {समय} सम्म।,2
167,운영/안내,라스트오더,라스트오더는 아홉시 반입니다.,라스트오더는 아홉씨 반임니다,अन्तिम अर्डर {समय} हो।,3
168,운영/안내,마감 안내,곧 마감이라 마지막 주문 받습니다.,곧 마감이라 마지막 주문 밷씀니다,छिट्टै बन्द, अन्तिम अर्डर।,3
169,운영/안내,흡연 안내,매장 안에서는 금연입니다.,매장 안에서는 금연임니다,भित्र धुम्रपान निषेध।,2
170,운영/안내,반입 안내,외부 음식은 반입이 어려워요.,외부 음식은 반입이 어려워요,बाहिरको खाना ल्याउन मिल्दैन।,3
171,운영/안내,어린이 주의,아이 조심해 주세요.,아이 조심해 주세यो,बच्चा सावधान राख्नुस्।,2
172,운영/안내,분실물,혹시 분실물 있으세요?,혹시 분실물 이쓰세यो?,केही हरायो?,2
173,운영/안내,분실물 안내,분실물은 카운터에 맡겨요.,분실물은 카운터에 맡겨요,हराएको सामान काउन्टरमा।,3
174,운영/안내,주차 안내,주차는 정해진 장소에 해 주세요.,주차는 정해진 장소에 해 주세यो,पार्किङ {स्थान} मा गर्नुहोस्।,3
175,운영/안내,와이파이,와이파이 비밀번호는 {비번}이에요.,와이파이 비밀번호는 비번이에요,Wi-Fi पासवर्ड {पास} हो।,3
176,고객 케어,사진 요청,사진 찍어 드릴까요?,사진 찍어 드릴까यो?,फोटो खिचिदिऊँ?,2
177,고객 케어,추천 질문,처음 오셨어요?,처음 오셔써요?,पहिलो पटक?,2
178,고객 케어,추천,처음이면 치킨머커니 추천드려요.,처음이면 치킨머커니 추천드려요,पहिलो पटक {मेनु} सिफारिस।,2
179,고객 케어,설명,이 커리는 시금치가 들어가있어요.,이 커리는 시금치가 드러가이써요,यो मेनु {विशेषता} छ।,3
180,고객 케어,마무리,맛있게 드세요.,마싣께 드세यो,मिठो गरी खानुहोस्।,1
181,응급/안전,상처,괜찮으세요? 다치셨어요?,갠찬으세요? 다치셔써요?,ठीक छ? चोट लाग्यो?,3
182,응급/안전,도움 요청,도와드릴까요?,도와드릴까यो?,मद्दत चाहिन्छ?,2
183,응급/안전,119,119 불러 드릴까요?,일일구 불러 드릴까यो?,एम्बुलेन्स बोलाऊँ?,3
184,응급/안전,화상 주의,뜨거운 그릇 조심하세요.,뜨거운 그릇 조심하세यो,तातो भाँडा सावधान।,2
185,응급/안전,넘어짐 주의,계단 조심하세요.,계단 조심하세यो,सिँढी सावधान।,2
186,직원/내부,호출,잠깐만요.,잠깐만요,अलि पर्खिनुहोस्।,1
187,직원/내부,호출,잠시만 도와주세요.,잠시만 도와주세यो,अलि मद्दत गरिदिनुहोस्।,2
188,직원/내부,주문 전달,오래 기다리시게 해서 죄송합니다.,오래 기다리시게 해서 죄송함니다,{테이블} नम्बर अर्डर आयो।,3
189,직원/내부,서빙 요청,서빙 나가주세요.,서빙 나가주세요,{메नु} सर्भिस गर्नुहोस्।,3
190,직원/내부,정리 요청,테이블 정리 부탁해요.,테이블 정리 부탁해요,{테이블} सफा गर्नुहोस्।,3
191,추가/회전,재주문 유도,커리 더 필요하세요?,커리 더 필요하세यो?,करी थप चाहिन्छ?,2
192,추가/회전,재주문 유도,난 추가하시면 더 맛있어요.,난 추가하시면 더 마시써요,नान थप्दा अझ राम्रो।,3
193,추가/회전,디저트 안내,디저트도 드릴까요?,디저트도 드릴까यो?,डेजर्ट लिने?,2
194,추가/회전,차이 권유,따뜻한 차이 어떠세요?,따뜨탄 차이 어떠세यो?,तातो चिया कस्तो?,3
195,추가/회전,포장 제안,남은 건 포장해 드릴까요?,남은 건 포장해 드릴까यो?,बाँकी प्याक गरूँ?,3
196,마감/퇴장,정리 안내,마감 준비를 해야 해서요.,마감 준비를 해야 해서요,अब बन्द तयारी छ।,3
197,마감/퇴장,정중 요청,이용해 주셔서 감사합니다.,이용해 주셔서 감사함니다,सेवा लिनु भएकोमा धन्यवाद।,2
198,마감/퇴장,퇴장 안내,조심히 들어가세요.,조심히 들어가세यो,सावधानीपूर्वक जानुहोस्।,2
199,마감/퇴장,다음 방문,다음에 또 뵐게요.,다음에 또 뵐께요,फेरि भेटौँला।,2
200,마감/퇴장,마무리,오늘도 좋은 하루 되세요.,오늘도 조은 하루 되세यो,आज पनि राम्रो दिन होस्।,2
