ID,Category,Situation,Korean,Pronunciation,Nepali,Level
31,메뉴/기본,커리 설명,커리는 인도·네팔식 요리예요.,커리는 인도 네팔식 요리에요,करी भारतीय/नेपाली सस हो।,2
32,메뉴/기본,난 설명,난은 탄두르 화덕으로 구은 빵이에요.,난은 탄두르 화덕으로 구운 빵이에요,नान तन्दुर रोटी हो।,2
33,메뉴/기본,밥 안내,밥도 주문하실 수 있어요.,밥또 주문하실 수 이써요,भात पनि अर्डर गर्न सकिन्छ।,1
34,메뉴/기본,탄두리 설명,탄두리치킨은 화덕에 구운 닭이에요.,탄두리치킨은 화덕에 구운 다기에요,तन्दुरी ओभनमा भुटेको कुखुरा हो।,2
35,메뉴/기본,모모 설명,모모는 네팔식 만두예요.,모모는 네팔식 만두에요,मोमो नेपाली मःमः हो।,2
36,메뉴/기본,라씨 설명,라씨는 마시는 요거트 음료예요.,라씨는 마시는 요거트 음료에요,लस्सी दहीको पेय हो।,2
37,메뉴/기본,차이 안내,차이는 향신료 밀크티예요.,차이는 향신료 밀크티에요,चिया मसाला दूध चिया हो।,2
38,메뉴/기본,채식 안내,채식 메뉴도 있어요.,채식 메뉴도 이써요,शाकाहारी मेनु पनि छ।,1
39,메뉴/기본,비건 확인,비건으로 원하세요?,비거드로 원하세요,भेगन चाहिन्छ?,2
40,메뉴/기본,돼지고기,저희는 돼지고기 사용 안 해요.,저희는 돼지고기 사용 안 해요,हामी सुँगुरको मासु प्रयोग गर्दैनौँ।,2
41,메뉴/기본,소고기 확인,양고기가 들어간 메뉴도 있어요.,양고기가 드러간 메뉴도 이써요,गाईको मासु मेनु अनुसार फरक हुन्छ।,3
42,메뉴/기본,향신료 안내,향신료가 들어가요.,향신료가 드러가요,मसला पर्छ।,1
43,메뉴/기본,덜 자극,덜 맵게 해 드릴게요.,덜 맵게 해 드릴게요,कम मसलेदार बनाइदिन्छु।,3
44,메뉴/기본,매운맛 주의,조금 매울 수 있어요.,조금 매울 수 이써요,अलि पिरो हुन सक्छ।,2
45,메뉴/기본,고수,"고수는 넣을까요, 뺄까요?",고수는 너을까요 뺄까요,धनिया राखौँ कि हटाऔँ?,3
46,메뉴/기본,견과류,견과류가 들어갈 수 있어요.,견과류가 드러갈 수 이써요,बदाम/काजु पर्न सक्छ।,3
47,메뉴/기본,유제품,우유/버터 들어갈 수 있어요.,우유 버터 드러갈 수 이써요,दूध/बटर पर्न सक्छ।,3
48,메뉴/기본,글루텐,밀가루가 들어가요.,밀가루가 드러가요,मैदा पर्छ।,2
49,메뉴/기본,할랄,할랄로 안내해 드릴까요?,할랄로 안내해 드릴까요,हलालबारे बताइदिऊँ?,3
50,메뉴/기본,추천 조합,커리 하나에 난 하나가 좋아요.,커리 하나에 난 하나가 조아요,एक करीमा एक नान राम्रो।,2
51,주문/확인,주문 받기,하나 맞으세요?,하나 마즈세요,하나 맞으세요?,2
52,주문/확인,수량 확인,버터난 한개 맞으세요?,버터난 한개 마즈세요,버터난 한 개 맞으세요?,2
53,주문/확인,맵기 확인,맵기는 1단계로 하시나요?.,맵기는 일단계로 하시나요,맵기는 1단계로 하시나요?,2
54,주문/확인,밥/난 확인,밥 추가하실까요?,밥 추가하실까요,밥 추가하실까요?,2
55,주문/확인,밥/난 확인,난 추가하실까요?,난 추가하실까요,난 추가하실까요?,2
56,주문/확인,음료 확인,음료는 무엇으로 드릴까요?,음료는 무어스로 드릴까요,음료는 무엇으로 드릴까요?,2
57,주문/확인,매운맛 조절,맵지않은 커리 원하시나요?,맵지아는 커리 원하시나요,안 매운 커리 원하시나요?,2
58,주문/확인,알레르기 확인,알레르기 있으시면 꼭 말씀해 주세요.,알레르기 이쓰시면 꼭 말쓰매 주세요,알레르기 있으면 꼭 말해주세요.,3
59,주문/확인,주문 반복,주문 다시 한 번 확인할게요.,주문 다시 한 번 확인할게요,주문 다시 확인할게요.,2
60,주문/확인,주문 낭독, 맞으신가요?,마즈신가요,맞으신가요?,2
61,주문/확인,변경,주문 변경 가능해요.,주문 변경 가능해요,주문 변경 가능해요.,2
62,주문/확인,변경,무엇을 바꿔 드릴까요?,무어슬 바꿔 드릴까요,무엇을 바꿔 드릴까요?,2
63,주문/확인,취소,취소 도와드릴게요.,취소 도와드릴게요,취소 도와드릴게요.,2
64,주문/확인,추가 주문,추가로 더 필요하세요?,추가로 더 필요하세요,더 필요한 거 있으세요?,2
65,주문/확인,포스 확인,"잠시만요, 포스 확인할게요.",잠시만요 포스 확인할게요,잠시만요, 포스 확인할게요.,3
66,시간/안내,조리 시간,조리 시간은10분 정도예요.,조리 시간은 십뿐 정도에요,조리 시간은 10분 정도예요.,2
67,시간/안내,혼잡,지금 주문이 많아서 조금 걸려요.,지금 주문이 마나서 조금 걸려요,주문이 많아서 조금 걸려요.,3
68,시간/안내,먼저 제공,음료 먼저 드릴게요.,음료 먼저 드릴게요,음료 먼저 드릴게요.,2
69,시간/안내,순서 안내,먼저 음료부터 나갑니다.,먼저 음료부터 나감니다,음료부터 나갑니다.,3
70,시간/안내,추가 기다림,조금만 더 기다려 주세요.,조금만 더 기다려 주세요,조금만 더 기다려 주세요.,2
71,서빙/기본,서빙 시작,주문하신 음식 나왔습니다.,주문하신 음식 나와씀니다,주문하신 음식 나왔습니다.,1
72,서빙/기본,뜨거움 주의,뜨거우니 조심하세요.,뜨거우니 조심하세요,뜨거우니 조심하세요.,2
73,서빙/기본,놓는 위치,여기 놓아 드릴게요.,여기 노아 드릴게요,여기 놓아 드릴게요.,1
74,서빙/기본,앞접시,앞접시 드릴까요?,앞접시 드릴까요,앞접시 드릴까요?,2
75,서빙/기본,식기 추가,숟가락 더 드릴까요?,숟가락 더 드릴까요,숟가락 더 드릴까요?,2
76,서빙/기본,식기 추가,포크 더 드릴까요?,포크 더 드릴까요,포크 더 드릴까요?,2
77,서빙/기본,물 리필,물 더 드릴까요?,물 더 드릴까요,물 더 드릴까요?,1
78,서빙/기본,소스 안내,소스는 여기 있습니다.,소스는 여기 이씀니다,소스는 여기 있습니다.,1
79,서빙/기본,난 리필 여부,난은 추가 주문입니다.,난은 추가 주문임니다,난은 추가 주문입니다.,3
80,서빙/기본,맛 확인,맛 괜찮으세요?,맏 갠차느세요,맛 괜찮으세요?,2
81,서빙/기본,맵기 확인,맵기는 괜찮으세요?,맵기는 갠차느세요,맵기는 괜찮으세요?,2
82,서빙/기본,추가 요청,필요한 거 있으면 말씀해 주세요.,필요한 거 이쓰면 말쓰매 주세요,필요한 거 있으면 말해주세요.,2
83,서빙/기본,치우기,접시 치워 드릴까요?,접시 치워 드릴까요,접시 치워 드릴까요?,2
84,서빙/기본,치우기,빈 그릇 치워 드릴게요.,빈 그릇 치워 드릴게요,빈 그릇 치워 드릴게요.,2
85,서빙/기본,테이블 정리,테이블 정리해 드릴게요.,테이블 정리해 드릴게요,테이블 정리해 드릴게요.,2
86,추가/옵션,추가 주문,추가 주문 도와드릴까요?,추가 주문 도와드릴까요,추가 주문 도와드릴까요?,2
87,추가/옵션,난 종류,버터 난으로 바꿀까요?,버터 난으로 바꿀까요,버터 난으로 바꿀까요?,3
88,추가/옵션,밥 종류,밥은 두종류로 가능해요.,바븐 두종류로 가능해요,밥은 두 종류로 가능해요.,3
89,추가/옵션,매운맛 변경,맵기 변경해 드릴까요?,맵기 변경해 드릴까요,맵기 변경해 드릴까요?,3
90,추가/옵션,고수 옵션,고수 빼 드릴게요.,고수 빼 드릴게요,고수 빼 드릴게요.,2
91,추가/옵션,유제품 옵션,크림 빼기 원하세요?,크림 빼기 원하세요,크림 빼 드릴까요?,3
92,추가/옵션,포장 용기,포장 용기 필요하세요?,포장 용기 필요하세요,포장 용기 필요하세요?,2
93,추가/옵션,나중 주문,나중에 디저트 드릴까요?,나중에 디저트 드릴까요,나중에 디저트 드릴까요?,3
94,추가/옵션,음료 추가,음료 하나 더 드릴까요?,음료 하나 더 드릴까요,음료 하나 더 드릴까요?,2
95,추가/옵션,얼음,얼음 넣어 드릴까요?,어름 너어 드릴까요,얼음 넣어 드릴까요?,2
96,추가/옵션,레몬,레몬 넣어 드릴까요?,레몬 너어 드릴까요,레몬 넣어 드릴까요?,2
97,추가/옵션,매장 이용,매장에서 드시고 가세요?,매장에서 드시고 가세요,매장에서 드시고 가세요?,1
98,추가/옵션,포장,포장해 드릴까요?,포장해 드릴까요,포장해 드릴까요?,1
99,추가/옵션,포장 시간,포장은 5분 정도 걸립니다.,포장은 오분 정도 걸림니다,포장은 5분 정도 걸립니다.,3
100,추가/옵션,배달 안내,배달도 가능해요.,배달도 가능해요,배달도 가능해요.,2
101,계산/결제,계산 요청,계산 도와드릴까요?,계산 도와드릴까요,계산 도와드릴까요?,1
102,계산/결제,계산 안내,카운터에서 계산해 주세요.,카운터에서 계산해 주세요,카운터에서 계산해 주세요.,2
103,계산/결제,테이블 계산,테이블에서 계산 도와드릴게요.,테이블에서 계산 도와드릴게요,테이블에서 계산 도와드릴게요.,3
104,계산/결제,결제 수단,"카드로 하실까요, 현금으로 하실까요?",카드로 하실까요 현금으로 하실까요,카드예요, 현금이에요?,2
105,계산/결제,카드 결제,카드 여기 꽂아 주세요.,카드 여기 꼬자 주세요,카드 여기 꽂아 주세요.,2
106,계산/결제,터치 결제,여기 터치해 주세요.,여기 터치해 주세요,여기 터치해 주세요.,2
107,계산/결제,현금 결제,현금 받았습니다.,현금 바다씀니다,현금 받았습니다.,2
108,계산/결제,거스름돈,거스름돈 여기 있습니다.,거스름돈 여기 이씀니다,거스름돈 여기 있습니다.,2
109,계산/결제,영수증,영수증 드릴까요?,영수증 드릴까요,영수증 드릴까요?,1
110,계산/결제,영수증 출력,영수증 출력해 드릴게요.,영수증 출력해 드릴게요,영수증 출력해 드릴게요.,2
111,계산/결제,현금영수증,현금영수증 필요하세요?,현금영수증 필요하세요,현금영수증 필요하세요?,3
112,계산/결제,계산서,계산서 필요하세요?,계산서 필요하세요,계산서 필요하세요?,2
113,계산/결제,분할 결제,나눠서 결제 가능합니다.,나눠서 결제 가능함니다,나눠서 결제 가능합니다.,3
114,계산/결제,각자 결제,각자 결제 도와드릴게요.,각자 결제 도와드릴게요,각자 결제 도와드릴게요.,3
115,계산/결제,쿠폰,쿠폰 있으세요?,쿠폰 이쓰세요,쿠폰 있으세요?,2
116,계산/결제,멤버십,멤버십 있으세요?,멤버십 이쓰세요,멤버십 있으세요?,2
117,계산/결제,적립 안내,적립 도와드릴까요?,정닙 도와드릴까요,적립 도와드릴까요?,3
118,계산/결제,감사 인사,감사합니다. 또 오세요.,감사함니다 또 오세요,감사합니다. 또 오세요.,1
119,계산/결제,작별 인사,조심히 가세요.,조심히 가세요,조심히 가세요.,1
120,계산/결제,문 열기,문 열어 드릴게요.,문 여러 드릴게요,문 열어 드릴게요.,2
121,예약/대기,예약 확인,예약은 한시가 맞으세요?,예약은 한시가 마즈세요,예약은 1시 맞으세요?,3
122,예약/대기,예약 이름,예약자 성함 알려 주세요.,예약자 성함 알려 주세요,예약자 성함 알려 주세요.,2
123,예약/대기,예약 없음,예약 없이도 가능해요.,예약 업씨도 가능해요,예약 없이도 가능해요.,2
124,예약/대기,대기 등록,대기 등록해 드릴까요?,대기 등록해 드릴까요,대기 등록해 드릴까요?,2
125,예약/대기,대기 시간,대기 시간은 10분 정도예요.,대기 시간은 십뿐 정도에요,대기 시간은 10분 정도예요.,3
126,예약/대기,연락 안내,자리 나면 연락드릴게요.,자리 나면 연락드릴게요,자리 나면 연락드릴게요.,3
127,예약/대기,호출,"손님, 들어오세요.",손님 드러오세요,손님, 들어오세요.,3
128,예약/대기,인원 변경,인원 변경되셨나요?,인원 변경되션나요,인원 변경되셨나요?,3
129,예약/대기,시간 지연,조금 늦어도 괜찮아요.,조금 느저도 갠차나요,조금 늦어도 괜찮아요.,2
130,예약/대기,노쇼 안내,시간 지나면 예약 취소돼요.,시간 지나면 예약 취소돼요,시간 지나면 예약 취소돼요.,3
131,포장/배달,포장 확인,포장 맞으세요?,포장 마즈세요,포장 맞으세요?,1
132,포장/배달,구성 확인,구성 확인해 주세요.,구성 확인해 주세요,구성 확인해 주세요.,2
133,포장/배달,소스 제공,소스는 두개 넣었어요.,소스는 두개 너어써요,소스는 두 개 넣었어요.,3
134,포장/배달,뜨거움,뜨거우니 조심하세요.,뜨거우니 조심하세요,뜨거우니 조심하세요.,2
135,포장/배달,시간 안내,포장 준비되면 불러 드릴게요.,포장 준비되면 불러 드릴게요,포장 준비되면 불러 드릴게요.,3
136,포장/배달,봉투,봉투에 담아 드릴게요.,봉투에 다마 드릴게요,봉투에 담아 드릴게요.,2
137,포장/배달,수저 포함,수저 넣어 드릴까요?,수저 너어 드릴까요,수저 넣어 드릴까요?,2
138,포장/배달,주소 확인,주소 확인해 주세요.,주소 확인해 주세요,주소 확인해 주세요.,3
139,포장/배달,배달 앱,배달 앱으로 주문하셨어요?,배달 애브로 주문하셔써요,배달 앱으로 주문하셨어요?,3
140,포장/배달,누락 확인,빠진 거 있으면 바로 연락 주세요.,빠진 거 이쓰면 바로 연락 주세요,빠진 거 있으면 바로 연락 주세요.,3
141,컴플레인,불만 접수,불편을 드려 죄송합니다.,불편을 드려 죄송함니다,불편을 드려 죄송합니다.,3
142,컴플레인,원인 질문,어떤 점이 불편하셨어요?,어떤 저미 불편하셔써요,어떤 점이 불편하셨어요?,3
143,컴플레인,교환 제안,새로 만들어 드릴까요?,새로 만들어 드릴까요,새로 만들어 드릴까요?,3
144,컴플레인,환불 안내,환불 도와드릴게요.,환불 도와드릴게요,환불 도와드릴게요.,3
145,컴플레인,맵기 문제,너무 매우시면 덜 맵게 바꿔 드릴게요.,너무 매우시면 덜 맵게 바꿔 드릴게요,너무 매우면 덜 맵게 해드릴게요.,3
146,컴플레인,맛 문제,맛이 다르시면 말씀해 주세요.,마시 다르면 말쓰매 주세요,맛이 다르면 말해주세요.,3
147,컴플레인,온도 문제,따뜻하게 다시 데워 드릴까요?,따뜨타게 다시 데워 드릴까요,따뜻하게 다시 데워 드릴까요?,3
148,컴플레인,지연 사과,조금 늦어서 죄송해요.,조금 느저서 죄송해요,조금 늦어서 죄송해요.,3
149,컴플레인,대기 사과,기다리게 해서 죄송해요.,기다리게 해서 죄송해요,기다리게 해서 죄송해요.,3
150,컴플레인,대안 제시,먼저 가능한 메뉴로 안내드릴까요?,먼저 가능한 메뉴로 안내드릴까요,먼저 가능한 메뉴로 안내드릴까요?,3
151,컴플레인,잘못 서빙,제가 확인하고 바로 바꿔 드릴게요.,제가 확인하고 바로 바꿔 드릴게요,제가 확인하고 바로 바꿔 드릴게요.,3
152,컴플레인,누락,누락된 메뉴 바로 드릴게요.,누락된 메뉴 바로 드릴게요,누락된 메뉴 바로 드릴게요.,3
153,컴플레인,자리 문제,자리 바꿔 드릴까요?,자리 바꿔 드릴까요,자리 바꿔 드릴까요?,3
154,컴플레인,소음,조용한 자리로 안내해 드릴까요?,조용한 자리로 안내해 드릴까요,조용한 자리로 안내해 드릴까요?,3
155,컴플레인,위생 걱정,바로 확인하고 조치하겠습니다.,바로 확인하고 조치하게씀니다,바로 확인하고 조치하겠습니다.,3
156,컴플레인,재확인,다시 한 번 확인해도 될까요?,다시 한 번 확인해도 될까요,다시 한 번 확인해도 될까요?,3
157,컴플레인,감사,말씀해 주셔서 감사합니다.,말씀해 주셔서 감사함니다,말씀해 주셔서 감사합니다.,3
158,컴플레인,매니저 호출,매니저 불러 드릴게요.,매니저 불러 드릴게요,매니저 불러 드릴게요.,3
159,컴플레인,서비스 제공,서비스로 라시 드리겠습니다.,서비스로 라시 드리게씀니다,서비스로 라씨 드리겠습니다.,3
160,컴플레인,마무리,다음에는 더 신경 쓰겠습니다.,다음에는 더 신경 쓰게씀니다,다음에는 더 신경 쓰겠습니다.,3
161,위생/청소,손 소독,손 소독 부탁드립니다.,손 소독 부탁드림니다,손 소독 부탁드립니다.,2
162,위생/청소,화장실 안내,화장실은 저쪽에 있어요.,화장실은 저쪼게 이써요,화장실은 저쪽에 있어요.,1
163,위생/청소,휴지 보충,휴지가 여기 있어요.,휴지가 여기 이써요,휴지가 여기 있어요.,1
164,위생/청소,바닥 주의,바닥이 미끄러워요.,바다기 미끄러워요,바닥이 미끄러워요.,2
165,위생/청소,정리 요청,테이블을 조금만 정리할게요.,테이블을 조금만 정리할게요,테이블을 조금만 정리할게요.,2
166,운영/안내,영업시간,영업시간은 열시까지예요.,영업시간은 열씨까지에요,영업시간은 10시까지예요.,2
167,운영/안내,라스트오더,라스트오더는 아홉시 반입니다.,라스트오더는 아홉씨 반임니다,라스트 오더는 9시 반입니다.,3
168,운영/안내,마감 안내,곧 마감이라 마지막 주문 받습니다.,곧 마감이라 마지막 주문 밷씀니다,곧 마감이라 마지막 주문 받습니다.,3
169,운영/안내,흡연 안내,매장 안에서는 금연입니다.,매장 안에서는 금연임니다,매장 안에서는 금연입니다.,2
170,운영/안내,반입 안내,외부 음식은 반입이 어려워요.,외부 음식은 반입이 어려워요,외부 음식은 반입이 어려워요.,3
171,운영/안내,어린이 주의,아이 조심해 주세요.,아이 조심해 주세요,아이 조심해 주세요.,2
172,운영/안내,분실물,혹시 분실물 있으세요?,혹시 분실물 이쓰세요,혹시 분실물 있으세요?,2
173,운영/안내,분실물 안내,분실물은 카운터에 맡겨요.,분실물은 카운터에 맡겨요,분실물은 카운터에 맡겨요.,3
174,운영/안내,주차 안내,주차는 정해진 장소에 해 주세요.,주차는 정해진 장소에 해 주세요,주차는 정해진 장소에 해 주세요.,3
175,운영/안내,와이파이,와이파이 비밀번호는 {비번}이에요.,와이파이 비밀번호는 비번이에요,와이파이 비밀번호는 {비번}이에요.,3
176,고객 케어,사진 요청,사진 찍어 드릴까요?,사진 찍어 드릴까요,사진 찍어 드릴까요?,2
177,고객 케어,추천 질문,처음 오셨어요?,처음 오셔써요,처음 오셨어요?,2
178,고객 케어,추천,처음이면 치킨머커니 추천드려요.,처음이면 치킨머커니 추천드려요,처음이면 치킨 머커니 추천해요.,2
179,고객 케어,설명,이 커리는 시금치가 들어가있어요.,이 커리는 시금치가 드러가이써요,이 커리는 시금치가 들어가 있어요.,3
180,고객 케어,마무리,맛있게 드세요.,마싣께 드세요,맛있게 드세요.,1
181,응급/안전,상처,괜찮으세요? 다치셨어요?,갠차느세요 다치셔써요,괜찮으세요? 다치셨어요?,3
182,응급/안전,도움 요청,도와드릴까요?,도와드릴까요,도와드릴까요?,2
183,응급/안전,119,119 불러 드릴까요?,일일구 불러 드릴까요,119 불러 드릴까요?,3
184,응급/안전,화상 주의,뜨거운 그릇 조심하세요.,뜨거운 그릇 조심하세요,뜨거운 그릇 조심하세요.,2
185,응급/안전,넘어짐 주의,계단 조심하세요.,계단 조심하세요,계단 조심하세요.,2
186,직원/내부,호출,잠깐만요.,잠깐만요,잠깐만요.,1
187,직원/내부,호출,잠시만 도와주세요.,잠시만 도와주세요,잠시만 도와주세요.,2
188,직원/내부,주문 전달,오래 기다리시게 해서 죄송합니다.,오래 기다리시게 해서 죄송함니다,오래 기다리게 해서 죄송합니다.,3
189,직원/내부,서빙 요청,서빙 나가주세요.,서빙 나가주세요,서빙 나가주세요.,3
190,직원/내부,정리 요청,테이블 정리 부탁해요.,테이블 정리 부타캐요,테이블 정리 부탁해요.,3
191,추가/회전,재주문 유도,커리 더 필요하세요?,커리 더 필요하세요,커리 더 필요하세요?,2
192,추가/회전,재주문 유도,난 추가하시면 더 맛있어요.,난 추가하시면 더 마시써요,난 추가하면 더 맛있어요.,3
193,추가/회전,디저트 안내,디저트도 드릴까요?,디저트도 드릴까요,디저트도 드릴까요?,2
194,추가/회전,차이 권유,따뜻한 차이 어떠세요?,따뜨탄 차이 어떠세요,따뜻한 차이 어떠세요?,3
195,추가/회전,포장 제안,남은 건 포장해 드릴까요?,남은 건 포장해 드릴까요,남은 건 포장해 드릴까요?,3
196,마감/퇴장,정리 안내,마감 준비를 해야 해서요.,마감 준비를 해야 해서요,마감 준비를 해야 해서요.,3
197,마감/퇴장,정중 요청,이용해 주셔서 감사합니다.,이용해 주셔서 감사함니다,이용해 주셔서 감사합니다.,2
198,마감/퇴장,퇴장 안내,조심히 들어가세요.,조심히 들어가세요,조심히 들어가세요.,2
199,마감/퇴장,다음 방문,다음에 또 뵐게요.,다음에 또 뵐께요,다음에 또 뵐게요.,2
200,마감/퇴장,마무리,오늘도 좋은 하루 되세요.,오늘도 조은 하루 되세요,오늘도 좋은 하루 되세요.,2
